"Data generated on Wednesday, August 5, 2026 at 10:30:23 PM EST"
Area/Partners of Destination,,,,,January 2015 - December 2015
And Commodities Exported,,,,,Quantities/Values in Thousands of Dollars
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1.67","Niger","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","49","40.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","49","40.0","","","US","NG","0226AT",
"1.68","Norway(*)","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","2.4","0","0.0","3","1.8","0","0.0","8","4.2","","","US","NO","0226AT",
"1.69","New Zealand(*)","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","25","18.5","0","0.0","0","0.0","4","1.7","0","0.0","28","20.3","","","US","NZ","0226AT",
"1.70","Paraguay","1","Soybean Oil","2015-2015","MT","5","0.6","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","5","0.6","","","US","PA","0226AT",
"1.71","Pakistan","1","Soybean Oil","2015-2015","MT","0","0.0","7,076","9,189.7","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,992","3,911.8","0","0.0","0","0.0","10,069","13,101.4","","","US","PK","0226AT",
"1.72","Poland","1","Soybean Oil","2015-2015","MT","8","0.1","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","8","0.1","","","US","PL","0226AT",
"1.73","Marshall Islands","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4","1.9","0","0.0","4","2.0","3","1.9","0","0.0","0","0.0","11","5.8","","","US","RM","0226AT",
"1.74","Russia","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3","0.8","0","0.0","0","0.0","0","0.0","3","0.8","","","US","RS","0226AT",
"1.75","Senegal","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","4,392","6,000.0","0","0.0","0","0.0","2,888","4,000.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","7,280","10,000.0","","","US","SG","0226AT",
"1.76","Singapore","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","10","5.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","10","5.0","","","US","SN","0226AT",
"1.77","Turks and Caicos Islands","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","4","3.0","0","0.0","0","0.0","0","0.0","6","4.8","6","4.8","0","0.0","5","5.0","0","0.0","0","0.0","20","17.5","","","US","TK","0226AT",
"1.78","Taiwan","1","Soybean Oil","2015-2015","MT","12","3.3","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","8","1.9","0","0.0","0","0.0","0","0.0","84","54.5","0","0.0","105","59.7","","","US","TW","0226AT",
"1.79","Uganda","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","284","280.5","0","0.0","0","0.0","284","280.5","","","US","UG","0226AT",
"1.80","United Kingdom","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","32","16.3","58","2.9","82","5.0","0","0.0","6","0.1","0","0.0","32","16.3","0","0.0","0","0.0","0","0.0","210","40.7","","","US","UK","0226AT",
"1.81","Venezuela","1","Soybean Oil","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","8,550","9,999.6","0","0.0","40,045","41,920.5","7,720","9,999.7","15,439","19,999.3","0","0.0","0","0.0","71,754","81,919.1","","","US","VE","0226AT",
"","Grand Total","","","","MT","96,173","116,439.0","81,406","100,037.7","83,418","105,881.5","48,189","57,026.6","28,967","32,900.0","58,796","71,376.6","26,223","29,303.5","67,893","70,146.6","40,001","46,264.6","67,790","81,480.0","88,089","105,689.0","122,078","145,487.6","809,023","962,032.7","27","25",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. (*) denotes a country that is a summarization of its component countries."
"3. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped commodities."
"4. Product Group : FAS &#40;Agricultural&#41;"
